Intersection,Hour,Vehicle_Type,Vehicle_Count,Green Light,Red Light
Intersection_8,0,Company Bus,109,54.63333333,45.36666667
Intersection_1,0,Company Bus,338,118.2666667,75.73333333
Intersection_6,0,Company Bus,342,111.4,86.6
Intersection_2,0,Ride-Sharing,185,47.16666667,40.83333333
Intersection_10,0,Car,463,87.43333333,39.56666667
Intersection_4,0,Public Transport,305,121.1666667,104.8333333
Intersection_1,0,Two-Wheeler,229,114.6333333,79.36666667
Intersection_9,0,Company Bus,445,64.83333333,26.16666667
Intersection_8,0,Ride-Sharing,406,64.53333333,35.46666667
Intersection_1,0,Two-Wheeler,483,123.1,70.9
Intersection_9,0,Company Bus,437,64.56666667,26.43333333
Intersection_3,1,Public Transport,231,50.7,111.3
Intersection_6,1,Company Bus,296,109.8666667,88.13333333
Intersection_9,1,Public Transport,69,52.3,38.7
Intersection_5,1,Car,412,69.73333333,71.26666667
Intersection_10,1,Car,266,80.86666667,46.13333333
Intersection_6,1,Two-Wheeler,93,103.1,94.9
Intersection_7,1,Public Transport,328,87.93333333,30.06666667
Intersection_4,1,Company Bus,232,118.7333333,107.2666667
Intersection_3,1,Car,316,53.53333333,108.4666667
Intersection_9,2,Two-Wheeler,129,54.3,36.7
Intersection_9,2,Ride-Sharing,170,55.66666667,35.33333333
Intersection_3,2,Company Bus,368,55.26666667,106.7333333
Intersection_4,2,Public Transport,247,119.2333333,106.7666667
Intersection_7,2,Car,418,90.93333333,27.06666667
Intersection_5,2,Two-Wheeler,249,64.3,76.7
Intersection_4,3,Company Bus,207,117.9,108.1
Intersection_10,3,Company Bus,165,77.5,49.5
Intersection_3,3,Public Transport,463,58.43333333,103.5666667
Intersection_10,3,Car,373,84.43333333,42.56666667
Intersection_1,3,Public Transport,438,121.6,72.4
Intersection_10,3,Company Bus,384,84.8,42.2
Intersection_1,3,Car,325,117.8333333,76.16666667
Intersection_1,3,Two-Wheeler,215,114.1666667,79.83333333
Intersection_9,3,Ride-Sharing,395,63.16666667,27.83333333
Intersection_1,3,Company Bus,424,121.1333333,72.86666667
Intersection_10,3,Ride-Sharing,441,86.7,40.3
Intersection_4,3,Company Bus,98,114.2666667,111.7333333
Intersection_2,3,Public Transport,167,46.56666667,41.43333333
Intersection_9,3,Company Bus,439,64.63333333,26.36666667
